,name,link,mark,episode or len,type,genre,comments,year
123,Мэйджор 5,https://shikimori.one/animes/5028-major-s5,8.45,25,TV Сериал,Комедия,20 комментариев,С 10 января 2009 г. по 27 июня 2009 г.
124,Девочка-волшебница Мадока★Волшебный фильм 3: История восстания,https://shikimori.one/animes/11981-mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari,8.45,1 час 56 мин.,Фильм,Детектив,444 комментария,
125,Золотое божество 3,https://shikimori.one/animes/40059-golden-kamuy-3rd-season,8.45,12,TV Сериал,Экшен,491 комментарий,
126,Отчёт о буйстве духов,https://shikimori.one/animes/392-yuu-yuu-hakusho,8.45,112,TV Сериал,Экшен,581 комментарий,С 10 октября 1992 г. по 7 января 1995 г.
127,Ох уж этот экстрасенс Сайки Кусуо!,https://shikimori.one/animes/33255-saiki-kusuo-no-nan,8.44,120,TV Сериал,Комедия,457 комментариев,С 4 июля 2016 г. по 26 декабря 2016 г.
128,Гинтама: Лучшее из «Гинтамы» на Theater 2D,https://shikimori.one/animes/21899-gintama-yorinuki-gintama-san-on-theater-2d,8.44,2,Фильм,Экшен,31 комментарий,
129,Магистр дьявольского культа 2,https://shikimori.one/animes/38450-mo-dao-zu-shi-2nd-season,8.44,8,ONA,Экшен,434 комментария,
130,Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2,https://shikimori.one/animes/26055-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders-2nd-season,8.44,24,TV Сериал,Экшен,622 комментария,С 10 января 2015 г. по 20 июня 2015 г.
131,Укрась прощальное утро цветами обещания,https://shikimori.one/animes/35851-sayonara-no-asa-ni-yakusoku-no-hana-wo-kazarou,8.44,1 час 55 мин.,Фильм,Драма,926 комментариев,
132,Призрак в доспехах: Синдром одиночки,https://shikimori.one/animes/467-koukaku-kidoutai-stand-alone-complex,8.44,26,TV Сериал,Экшен,430 комментариев,С октябрь 2002 г. по октябрь 2003 г.
133,"Как и ожидалось, моя школьная романтическая жизнь не удалась 3",https://shikimori.one/animes/39547-yahari-ore-no-seishun-love-comedy-wa-machigatteiru-kan,8.43,12,TV Сериал,Повседневность,2689 комментариев,
134,Перекрёстная игра,https://shikimori.one/animes/5941-cross-game,8.43,50,TV Сериал,Комедия,70 комментариев,С 5 апреля 2009 г. по 28 марта 2010 г.
135,Граница пустоты 7: Теория убийства — Часть 2,https://shikimori.one/animes/5205-kara-no-kyoukai-7-satsujin-kousatsu-go,8.43,2 часа 1 мин.,Фильм,Экшен,107 комментариев,
136,Почувствуй ветер,https://shikimori.one/animes/37965-kaze-ga-tsuyoku-fuiteiru,8.43,23,TV Сериал,Комедия,451 комментарий,С 3 октября 2018 г. по 27 марта 2019 г.
137,Мононокэ,https://shikimori.one/animes/2246-mononoke,8.43,12,TV Сериал,Детектив,177 комментариев,С 13 июля 2007 г. по 28 сентября 2007 г.
138,Мартовский лев,https://shikimori.one/animes/31646-3-gatsu-no-lion,8.42,22,TV Сериал,Драма,596 комментариев,С 8 октября 2016 г. по 18 марта 2017 г.
139,Яркая Тихая 2,https://shikimori.one/animes/z14397-chihayafuru-2,8.42,25,TV Сериал,Драма,239 комментариев,С 12 января 2013 г. по 29 июня 2013 г.
140,Задержи этот звук! 2,https://shikimori.one/animes/38889-kono-oto-tomare-2nd-season,8.42,13,TV Сериал,Драма,170 комментариев,С 6 октября 2019 г. по 29 декабря 2019 г.
141,Брошенный кролик,https://shikimori.one/animes/10162-usagi-drop,8.42,11,TV Сериал,Повседневность,757 комментариев,С 8 июля 2011 г. по 16 сентября 2011 г.
142,Боевой континент 5,https://shikimori.one/animes/42498-douluo-dalu-xiaowu-juebie,8.41,13,ONA,Экшен,104 комментария,С 23 мая 2020 г. по 15 августа 2020 г.
143,Необъятный океан,https://shikimori.one/animes/37105-grand-blue,8.41,12,TV Сериал,Повседневность,773 комментария,С 14 июля 2018 г. по 29 сентября 2018 г.
144,Невиданный цветок,https://shikimori.one/animes/9989-ano-hi-mita-hana-no-namae-wo-bokutachi-wa-mada-shiranai,8.41,11,TV Сериал,Повседневность,677 комментариев,С 15 апреля 2011 г. по 24 июня 2011 г.
145,Страна самоцветов,https://shikimori.one/animes/35557-houseki-no-kuni-tv,8.41,12,TV Сериал,Экшен,511 комментариев,С 7 октября 2017 г. по 23 декабря 2017 г.
146,Шумиха!,https://shikimori.one/animes/z2251-baccano,8.41,13,TV Сериал,Экшен,478 комментариев,С 27 июля 2007 г. по 2 ноября 2007 г.
147,Баракамон,https://shikimori.one/animes/22789-barakamon,8.41,12,TV Сериал,Комедия,681 комментарий,С 6 июля 2014 г. по 28 сентября 2014 г.
148,Гинтама 4: Любовные благовония,https://shikimori.one/animes/32366-gintama-aizome-kaori-hen,8.41,2,OVA,Комедия,79 комментариев,
149,Госпожа Кагуя: в любви как на войне,https://shikimori.one/animes/37999-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,8.41,12,TV Сериал,Комедия,2011 комментариев,С 12 января 2019 г. по 30 марта 2019 г.
150,Тетрадь дружбы Нацумэ: Эфемерная связь,https://shikimori.one/animes/36538-natsume-yuujinchou-movie-utsusemi-ni-musubu,8.41,1 час 44 мин.,Фильм,Демоны,147 комментариев,
151,Охотник х Охотник,https://shikimori.one/animes/z136-hunter-x-hunter,8.41,62,TV Сериал,Экшен,361 комментарий,С 16 октября 1999 г. по 31 марта 2001 г.
152,Реинкарнация безработного: История о приключениях в другом мире,https://shikimori.one/animes/39535-mushoku-tensei-isekai-ittara-honki-dasu,8.4,11,TV Сериал,Драма,9206 комментариев,
153,Навсикая из Долины ветров,https://shikimori.one/animes/572-kaze-no-tani-no-nausicaa,8.4,1 час 57 мин.,Фильм,Приключения,322 комментария,
154,Тетрадь дружбы Нацумэ 6: Спецвыпуски,https://shikimori.one/animes/36275-natsume-yuujinchou-roku-specials,8.4,2,Спешл,Повседневность,51 комментарий,
155,Истории ран. Часть 1: Железная кровь,https://shikimori.one/animes/z9260-kizumonogatari-i-tekketsu-hen,8.4,1 час 4 мин.,Фильм,Вампиры,953 комментария,
156,Деревенская глубинка 3,https://shikimori.one/animes/39808-non-non-biyori-nonstop,8.4,12,TV Сериал,Повседневность,319 комментариев,
157,Вайолет Эвергарден: Вечность и призрак пера,https://shikimori.one/animes/39741-violet-evergarden-gaiden-eien-to-jidou-shuki-ningyou,8.4,1 час 31 мин.,Фильм,Повседневность,328 комментариев,
158,"Жозе, тигр и рыба",https://shikimori.one/animes/40787-josee-to-tora-to-sakana-tachi,8.4,1 час 38 мин.,Фильм,Повседневность,172 комментария,
159,Атака титанов: Выбор без сожалений,https://shikimori.one/animes/25781-shingeki-no-kyojin-kuinaki-sentaku,8.39,2,OVA,Экшен,346 комментариев,
160,Бакуман 2,https://shikimori.one/animes/10030-bakuman-2nd-season,8.39,25,TV Сериал,Комедия,229 комментариев,С октябрь 2011 г. по 24 марта 2012 г.
161,Ковбой Бибоп: Достучаться до небес,https://shikimori.one/animes/5-cowboy-bebop-tengoku-no-tobira,8.39,1 час 55 мин.,Фильм,Экшен,144 комментария,
162,Хеллсинг OVA,https://shikimori.one/animes/777-hellsing-ultimate,8.39,10,OVA,Экшен,613 комментариев,
163,Паразит: Учение о жизни,https://shikimori.one/animes/22535-kiseijuu-sei-no-kakuritsu,8.39,24,TV Сериал,Экшен,2703 комментария,С 9 октября 2014 г. по 26 марта 2015 г.
164,Девочка-волшебница Мадока★Волшебный фильм 2:  История вечности,https://shikimori.one/animes/11979-mahou-shoujo-madoka-magica-movie-2-eien-no-monogatari,8.39,1 час 49 мин.,Фильм,Драма,87 комментариев,
165,Легенда о Ло Сяохэе,https://shikimori.one/animes/40211-luo-xiao-hei-zhan-ji-movie,8.39,1 час 41 мин.,Фильм,Приключения,17 комментариев,
166,О моём перерождении в слизь 2,https://shikimori.one/animes/39551-tensei-shitara-slime-datta-ken-2nd-season,8.39,12,TV Сериал,Экшен,1330 комментариев,
167,Царство 2,https://shikimori.one/animes/17389-kingdom-2nd-season,8.38,39,TV Сериал,Экшен,164 комментария,С 8 июня 2013 г. по 2 марта 2014 г.
168,Психопаспорт,https://shikimori.one/animes/z13601-psycho-pass,8.38,22,TV Сериал,Экшен,1298 комментариев,С 12 октября 2012 г. по 22 марта 2013 г.
169,Космический линкор Ямато 2199,https://shikimori.one/animes/12029-uchuu-senkan-yamato-2199,8.37,26,OVA,Экшен,359 комментариев,
170,"В лес, где мерцают светлячки",https://shikimori.one/animes/10408-hotarubi-no-mori-e,8.37,45 мин.,Фильм,Драма,790 комментариев,
171,Царство 3,https://shikimori.one/animes/40682-kingdom-3rd-season,8.37,9 / 26,TV Сериал,Экшен,343 комментария,
172,"Очень приятно, Бог 2 OVA",https://shikimori.one/animes/z30709-kamisama-hajimemashita-kako-hen,8.37,4,OVA,Комедия,181 комментарий,
173,Агент времени,https://shikimori.one/animes/44074-shiguang-daili-ren,8.37,6 / 11,ONA,Супер сила,222 комментария,
174,Девочка-волшебница Мадока★Волшебство,https://shikimori.one/animes/9756-mahou-shoujo-madoka-magica,8.37,12,TV Сериал,Психологическое,1815 комментариев,С 7 января 2011 г. по 22 апреля 2011 г.
175,Дитя погоды,https://shikimori.one/animes/38826-tenki-no-ko,8.37,1 час 52 мин.,Фильм,Повседневность,1729 комментариев,
176,Мэйджор 6,https://shikimori.one/animes/7655-major-s6,8.37,25,TV Сериал,Комедия,26 комментариев,С 3 апреля 2010 г. по 25 сентября 2010 г.
177,Благословение небожителей,https://shikimori.one/animes/40730-tian-guan-ci-fu,8.36,11,ONA,Экшен,740 комментариев,С 31 октября 2020 г. по 2 января 2021 г.
178,Истории монстров,https://shikimori.one/animes/y5081-bakemonogatari,8.36,15,TV Сериал,Романтика,4436 комментариев,С 3 июля 2009 г. по 25 июня 2010 г.
179,"Город, в котором меня нет",https://shikimori.one/animes/z31043-boku-dake-ga-inai-machi,8.36,12,TV Сериал,Детектив,2720 комментариев,С 8 января 2016 г. по 25 марта 2016 г.
180,Волейбол!! К вершине,https://shikimori.one/animes/z38883-haikyuu-to-the-top,8.36,13,TV Сериал,Комедия,584 комментария,
181,Истории мечей,https://shikimori.one/animes/6594-katanagatari,8.36,12,TV Сериал,Экшен,447 комментариев,С 26 января 2010 г. по 11 декабря 2010 г.
182,Волчица и пряности II,https://shikimori.one/animes/5341-ookami-to-koushinryou-ii,8.36,12,TV Сериал,Приключения,525 комментариев,С 9 июля 2009 г. по 24 сентября 2009 г.
183,Тетрадь дружбы Нацумэ: Однажды зимним днём,https://shikimori.one/animes/20651-natsume-yuujinchou-itsuka-yuki-no-hi-ni,8.35,23 мин.,OVA,Повседневность,49 комментариев,
184,Один на вылет,https://shikimori.one/animes/5040-one-outs,8.35,25,TV Сериал,Спорт,267 комментариев,С 8 октября 2008 г. по апрель 2009 г.
185,Голубые небеса Ромео,https://shikimori.one/animes/2559-romeo-no-aoi-sora,8.35,33,TV Сериал,Приключения,51 комментарий,С 15 января 1995 г. по 17 декабря 1995 г.
186,Дети на холме,https://shikimori.one/animes/z12531-sakamichi-no-apollon,8.35,12,TV Сериал,Драма,352 комментария,С 13 апреля 2012 г. по 29 июня 2012 г.
187,Из нового света,https://shikimori.one/animes/z13125-shinsekai-yori,8.35,25,TV Сериал,Драма,1903 комментария,С 29 сентября 2012 г. по 23 марта 2013 г.
188,Белый ящик,https://shikimori.one/animes/z25835-shirobako,8.35,24,TV Сериал,Комедия,470 комментариев,С 9 октября 2014 г. по 26 марта 2015 г.
189,Заклинательница зверей Эрин,https://shikimori.one/animes/5420-kemono-no-souja-erin,8.35,50,TV Сериал,Драма,121 комментарий,С 10 января 2009 г. по 26 декабря 2009 г.
190,Мэйджор: Мировая серия,https://shikimori.one/animes/11917-major-world-series,8.35,2,OVA,Комедия,45 комментариев,
191,Этот глупый свин не понимает мечту девочки-зайки,https://shikimori.one/animes/z37450-seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai,8.34,13,TV Сериал,Комедия,2943 комментария,С 4 октября 2018 г. по 27 декабря 2018 г.
192,Мобильный воин Гандам: Происхождение,https://shikimori.one/animes/z10937-mobile-suit-gundam-the-origin,8.35,6,OVA,Экшен,148 комментариев,
193,Евангелион 2.22: Ты (не) пройдёшь,https://shikimori.one/animes/3784-evangelion-2-0-you-can-not-advance,8.34,1 час 52 мин.,Фильм,Экшен,269 комментариев,
194,Гинтама: Рождение Белого Демона,https://shikimori.one/animes/z6945-gintama-shiroyasha-koutan,8.34,10 мин.,Спешл,Экшен,38 комментариев,
195,Дарованный,https://shikimori.one/animes/39533-given,8.34,11,TV Сериал,Драма,418 комментариев,С 12 июля 2019 г. по 20 сентября 2019 г.
196,Врата Штейна: Эгоистичная пориомания,https://shikimori.one/animes/z10863-steins-gate-oukoubakko-no-poriomania,8.34,24 мин.,Спешл,Фантастика,105 комментариев,
197,Созданный в Бездне: Блуждающие сумерки,https://shikimori.one/animes/37515-made-in-abyss-movie-2-hourou-suru-tasogare,8.34,1 час 45 мин.,Фильм,Фантастика,43 комментария,
198,Тетрадь дружбы Нацумэ 5: Спецвыпуски,https://shikimori.one/animes/34534-natsume-yuujinchou-go-specials,8.33,2,Спешл,Повседневность,36 комментариев,
199,Добро пожаловать в NHK,https://shikimori.one/animes/1210-nhk-ni-youkoso,8.33,24,TV Сериал,Комедия,1105 комментариев,С 10 июля 2006 г. по 18 декабря 2006 г.
200,Тетрадь дружбы Нацумэ,https://shikimori.one/animes/4081-natsume-yuujinchou,8.33,13,TV Сериал,Повседневность,341 комментарий,С 8 июля 2008 г. по 30 сентября 2008 г.
201,Великий притворщик,https://shikimori.one/animes/40052-great-pretender,8.33,23,TV Сериал,Экшен,564 комментария,
202,Роза Версаля,https://shikimori.one/animes/z338-versailles-no-bara,8.33,40,TV Сериал,Военное,73 комментария,С 10 октября 1979 г. по 3 сентября 1980 г.
203,Судьба/Ночь схватки: Бесконечный мир клинков 2,https://shikimori.one/animes/z28701-fate-stay-night-unlimited-blade-works-2nd-season,8.33,13,TV Сериал,Экшен,1640 комментариев,С 5 апреля 2015 г. по 28 июня 2015 г.
204,Судьба/Начало,https://shikimori.one/animes/z10087-fate-zero,8.33,13,TV Сериал,Экшен,1577 комментариев,С 2 октября 2011 г. по 25 декабря 2011 г.
205,Охотник х Охотник OVA,https://shikimori.one/animes/z137-hunter-x-hunter-original-video-animation,8.33,8,OVA,Экшен,9 комментариев,
206,Кэйон в кино!,https://shikimori.one/animes/9617-eiga-k-on,8.33,1 час 50 мин.,Фильм,Музыка,97 комментариев,
207,Путешествие Кино: Прекрасный мир,https://shikimori.one/animes/z486-kino-no-tabi-the-beautiful-world,8.33,13,TV Сериал,Экшен,197 комментариев,С 8 апреля 2003 г. по 8 июля 2003 г.
208,Баскетбол Куроко 3,https://shikimori.one/animes/24415-kuroko-no-basket-3rd-season,8.33,25,TV Сериал,Комедия,682 комментария,С 11 января 2015 г. по 30 июня 2015 г.
209,Ученик чудовища,https://shikimori.one/animes/x28805-bakemono-no-ko,8.32,1 час 59 мин.,Фильм,Приключения,252 комментария,
210,Путь аса 2,https://shikimori.one/animes/z30230-diamond-no-ace-second-season,8.32,51,TV Сериал,Комедия,88 комментариев,С 6 апреля 2015 г. по 28 марта 2016 г.
211,Доктор Стоун,https://shikimori.one/animes/z38691-dr-stone,8.32,24,TV Сериал,Фантастика,1505 комментариев,С 5 июля 2019 г. по 13 декабря 2019 г.
212,Одноклассник,https://shikimori.one/animes/30346-doukyuusei-movie,8.32,1 час,Фильм,Повседневность,272 комментария,
213,Евангелион нового поколения,https://shikimori.one/animes/30-neon-genesis-evangelion,8.32,26,TV Сериал,Экшен,5825 комментариев,С 4 октября 1995 г. по 27 марта 1996 г.
214,Нодамэ Кантабиле,https://shikimori.one/animes/1698-nodame-cantabile,8.32,23,TV Сериал,Музыка,308 комментариев,С 12 января 2007 г. по 15 июня 2007 г.
215,Бродяга Кэнсин,https://shikimori.one/animes/z45-rurouni-kenshin-meiji-kenkaku-romantan,8.31,94,TV Сериал,Экшен,298 комментариев,С 10 января 1996 г. по 8 сентября 1998 г.
216,Нет игры — нет жизни: Начало,https://shikimori.one/animes/z33674-no-game-no-life-zero,8.31,1 час 46 мин.,Фильм,Игры,1288 комментариев,
217,Меч чужака,https://shikimori.one/animes/2418-stranger-mukou-hadan,8.31,1 час 43 мин.,Фильм,Экшен,109 комментариев,
218,Хроника крыльев: Откровения Токио,https://shikimori.one/animes/2685-tsubasa-tokyo-revelations,8.31,3,OVA,Экшен,13 комментариев,
219,Бек,https://shikimori.one/animes/57-beck,8.31,26,TV Сериал,Комедия,397 комментариев,С 7 октября 2004 г. по 31 марта 2005 г.
220,Моя геройская академия 2,https://shikimori.one/animes/33486-boku-no-hero-academia-2nd-season,8.31,25,TV Сериал,Экшен,797 комментариев,С апрель 2017 г. по 30 сентября 2017 г.
221,Детектив Конан: Призрак с Бейкер-Стрит,https://shikimori.one/animes/1365-detective-conan-movie-06-the-phantom-of-baker-street,8.31,1 час 47 мин.,Фильм,Приключения,9 комментариев,
222,"Вайолет Эвергарден: День, когда ты поймёшь, что я люблю тебя, обязательно наступит",https://shikimori.one/animes/37095-violet-evergarden-kitto-ai-wo-shiru-hi-ga-kuru-no-darou,8.31,34 мин.,Спешл,Повседневность,121 комментарий,
223,Этот замечательный мир! 2,https://shikimori.one/animes/y32937-kono-subarashii-sekai-ni-shukufuku-wo-2,8.31,10,TV Сериал,Приключения,1128 комментариев,С 12 января 2017 г. по 16 марта 2017 г.
224,Странники,https://shikimori.one/animes/329-planetes,8.3,26,TV Сериал,Драма,384 комментария,С 4 октября 2003 г. по 17 апреля 2004 г.
225,Патриотизм Мориарти 2,https://shikimori.one/animes/43325-yuukoku-no-moriarty-2nd-season,8.3,10 / 13,TV Сериал,Исторический,362 комментария,
226,Небесный замок Лапута,https://shikimori.one/animes/513-tenkuu-no-shiro-laputa,8.3,2 часа 5 мин.,Фильм,Приключения,108 комментариев,
227,Мой сосед Тоторо,https://shikimori.one/animes/z523-tonari-no-totoro,8.3,1 час 26 мин.,Фильм,Приключения,245 комментариев,
228,Красная черта,https://shikimori.one/animes/6675-redline,8.29,1 час 42 мин.,Фильм,Экшен,229 комментариев,
229,Однажды в Токио,https://shikimori.one/animes/759-tokyo-godfathers,8.29,1 час 32 мин.,Фильм,Комедия,103 комментария,
230,Серебряная ложка 2,https://shikimori.one/animes/19363-gin-no-saji-2nd-season,8.29,11,TV Сериал,Комедия,93 комментария,С 10 января 2014 г. по 28 марта 2014 г.
231,Аватар короля: Специальные выпуски,https://shikimori.one/animes/37078-quanzhi-gaoshou-specials,8.29,3,ONA,Экшен,139 комментариев,
232,"Звучи, эуфониум! 2",https://shikimori.one/animes/31988-hibike-euphonium-2,8.29,13,TV Сериал,Музыка,659 комментариев,С 6 октября 2016 г. по 29 декабря 2016 г.
233,Призрак в доспехах,https://shikimori.one/animes/43-koukaku-kidoutai,8.29,1 час 22 мин.,Фильм,Экшен,552 комментария,
234,Завтрашний Джо,https://shikimori.one/animes/2402-ashita-no-joe,8.28,79,TV Сериал,Экшен,250 комментариев,С апрель 1970 г. по 29 сентября 1971 г.
235,Кайдзи,https://shikimori.one/animes/3002-gyakkyou-burai-kaiji-ultimate-survivor,8.28,26,TV Сериал,Игры,394 комментария,С 3 октября 2007 г. по 2 апреля 2008 г.
236,Первый шаг: Путь чемпиона,https://shikimori.one/animes/264-hajime-no-ippo-champion-road,8.28,1 час 30 мин.,Спешл,Комедия,11 комментариев,
237,Мегалобокс 2,https://shikimori.one/animes/z40729-nomad-megalo-box-2,8.28,10 / 13,TV Сериал,Экшен,185 комментариев,
238,Охотник х Охотник: Остров Жадности — Финал,https://shikimori.one/animes/z139-hunter-x-hunter-greed-island-final,8.28,14,OVA,Экшен,10 комментариев,
239,Инициал Ди: Стадия первая,https://shikimori.one/animes/z185-initial-d-first-stage,8.28,26,TV Сериал,Экшен,227 комментариев,С 19 апреля 1998 г. по 6 декабря 1998 г.
240,"Останься со мной, Дораэмон! 2",https://shikimori.one/animes/40853-stand-by-me-doraemon-2,8.28,1 час 35 мин.,Фильм,Комедия,6 комментариев,
241,Re:Zero. Жизнь с нуля в альтернативном мире,https://shikimori.one/animes/z31240-re-zero-kara-hajimeru-isekai-seikatsu,8.28,25,TV Сериал,Психологическое,9776 комментариев,С 4 апреля 2016 г. по 19 сентября 2016 г.
242,Повар-боец Сома,https://shikimori.one/animes/28171-shokugeki-no-souma,8.28,24,TV Сериал,Этти,1560 комментариев,С 4 апреля 2015 г. по 26 сентября 2015 г.
243,Нодамэ Кантабиле: Финал,https://shikimori.one/animes/5690-nodame-cantabile-finale,8.27,11,TV Сериал,Комедия,41 комментарий,С 15 января 2010 г. по 26 марта 2010 г.
244,Волчица и пряности,https://shikimori.one/animes/2966-ookami-to-koushinryou,8.27,13,TV Сериал,Приключения,1110 комментариев,С 9 января 2008 г. по 26 марта 2008 г.
245,Актриса тысячелетия,https://shikimori.one/animes/z1033-sennen-joyuu,8.27,1 час 26 мин.,Фильм,Экшен,163 комментария,
246,"Как и ожидалось, моя школьная романтическая жизнь не удалась 2",https://shikimori.one/animes/23847-yahari-ore-no-seishun-love-comedy-wa-machigatteiru-zoku,8.27,13,TV Сериал,Повседневность,2988 комментариев,С 3 апреля 2015 г. по 26 июня 2015 г.
247,Лагерь на свежем воздухе,https://shikimori.one/animes/34798-yuru-camp,8.27,12,TV Сериал,Повседневность,331 комментарий,С 4 января 2018 г. по 22 марта 2018 г.
